title,myrating,avgrating,binding,pages,pubyear,shelf
Telephone,0.00,4.11,Paperback,224.00,2020,to-read
The City We Became (Great Cities #1),0.00,4.03,Hardcover,437.00,2020,to-read
The Whisper Man,0.00,4.06,Hardcover,355.00,2019,to-read
Unbowed,0.00,4.10,Hardcover,314.00,2006,to-read
Lab Girl,0.00,3.99,Hardcover,290.00,2016,to-read
"The Rise of the American Conservation Movement: Power, Privilege, and Environmental Protection",0.00,3.97,Hardcover,496.00,2016,to-read
How to Be an Antiracist,0.00,4.42,Hardcover,305.00,2019,to-read
A Black Women's History of the United States,0.00,4.31,Hardcover,273.00,2020,to-read
A Gap in Nature: Discovering the World's Extinct Animals,0.00,4.24,Hardcover,192.00,2001,to-read
The Woman in the Window,0.00,3.94,ebook,455.00,2018,to-read
"John Dies at the End (John Dies at the End, #1)",0.00,3.90,Paperback,466.00,2007,to-read
Atlas Obscura: An Explorer's Guide to the World's Hidden Wonders,0.00,4.25,Hardcover,470.00,2016,to-read
The Book of Barely Imagined Beings: A 21st Century Bestiary,0.00,4.09,Hardcover,427.00,2012,to-read
Schott's Original Miscellany,0.00,4.09,Hardcover,158.00,2002,to-read
"Other Minds: The Octopus, the Sea, and the Deep Origins of Consciousness",0.00,3.86,Hardcover,257.00,2016,to-read
"Foundation (Foundation, #1)",0.00,4.17,Hardcover,244.00,1951,to-read
This Is How I Lied,0.00,3.81,Paperback,332.00,2020,to-read
The Haunting of Hill House,0.00,3.84,Paperback,182.00,1959,to-read
So You've Been Publicly Shamed,0.00,3.94,Hardcover,290.00,2015,to-read
The Immortal Life of Henrietta Lacks,0.00,4.07,Hardcover,370.00,2010,to-read
Into Thin Air: A Personal Account of the Mount Everest Disaster,0.00,4.18,Paperback,368.00,1997,to-read
The Paris Hours,0.00,3.79,Hardcover,272.00,2020,to-read
Cat's Cradle,0.00,4.16,Paperback,179.00,1963,to-read
"2001: A Space Odyssey (Space Odyssey, #1)",0.00,4.15,Paperback,297.00,1968,to-read
The Stand,0.00,4.34,Hardcover,1153.00,1978,to-read
"Do Androids Dream of Electric Sheep? (Blade Runner, #1)",0.00,4.08,Paperback,244.00,1968,to-read
Station Eleven,0.00,4.05,Hardcover,333.00,2014,to-read
The Library of Legends,0.00,3.82,Paperback,400.00,2020,to-read
Shakespeare for Squirrels,0.00,3.91,Hardcover,271.00,2020,to-read
"The Handmaid's Tale (The Handmaid's Tale, #1)",0.00,4.11,Paperback,314.00,1985,to-read
My Year of Rest and Relaxation,0.00,3.67,Paperback,304.00,2018,to-read
Where the Crawdads Sing,0.00,4.47,ebook,384.00,2018,to-read
The Picture of Dorian Gray,0.00,4.08,Paperback,272.00,1890,to-read
Foundryside (The Founders Trilogy #1),0.00,4.24,ebook,512.00,2018,to-read
Dracula,0.00,4.00,Paperback,488.00,1897,to-read
A Clockwork Orange,0.00,3.99,Paperback,240.00,1962,to-read
Pride and Prejudice,0.00,4.26,Paperback,279.00,1813,to-read
"Illuminae (The Illuminae Files, #1)",0.00,4.28,Hardcover,608.00,2015,to-read
"Shadow and Bone (The Shadow and Bone Trilogy, #1)",0.00,3.99,Hardcover,358.00,2012,to-read
"Annihilation (Southern Reach, #1)",0.00,3.70,Paperback,195.00,2014,to-read
"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",0.00,3.74,Hardcover,288.00,2012,to-read
Everybody Sees the Ants,0.00,4.00,Hardcover,279.00,2011,to-read
The Long Walk,0.00,4.08,Paperback,370.00,1979,to-read
The Southern Book Club's Guide to Slaying Vampires,0.00,3.87,Hardcover,404.00,2020,to-read
When Women Ruled the World: Six Queens of Egypt,0.00,3.72,Hardcover,400.00,2018,to-read
The Secret Lives of Bats: My Adventures with the World's Most Misunderstood Mammals,0.00,4.26,Hardcover,288.00,2015,to-read
The Ten Thousand Doors of January,0.00,4.08,Hardcover,374.00,2019,to-read
Invisible Women: Data Bias in a World Designed for Men,0.00,4.41,Hardcover,411.00,2019,to-read
The Uninhabitable Earth: Life After Warming,0.00,4.08,Hardcover,310.00,2019,to-read
Ninth House (Alex Stern #1),0.00,4.05,Hardcover,459.00,2019,to-read
"Scythe (Arc of a Scythe, #1)",0.00,4.33,Hardcover,435.00,2016,to-read
"Red, White & Royal Blue",0.00,4.23,Paperback,423.00,2019,to-read
Night Film,0.00,3.78,Paperback,640.00,2013,to-read
The Alchemist,0.00,3.88,Paperback,182.00,1988,to-read
"Jurassic Park (Jurassic Park, #1)",0.00,4.04,ebook,466.00,1990,to-read
"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",0.00,4.36,Paperback,815.00,1996,to-read
"American Gods (American Gods, #1)",0.00,4.11,ebook,635.00,2001,to-read
"Vicious (Villains, #1)",0.00,4.21,ebook,366.00,2013,to-read
The Grapes of Wrath,0.00,3.97,Hardcover,479.00,1939,to-read
The Color Purple,0.00,4.22,Paperback,304.00,1982,to-read
Brave New World,0.00,3.99,Paperback,288.00,1932,to-read
One Flew Over the Cuckoo's Nest,0.00,4.19,Paperback,325.00,1962,to-read
The Screwtape Letters,0.00,4.22,ebook,228.00,1942,to-read
"Things Fall Apart (The African Trilogy, #1)",0.00,3.69,Paperback,209.00,1958,to-read
"Magpie Murders (Susan Ryeland, #1)",0.00,3.93,Hardcover,498.00,2016,to-read
"The Big Sky (The Big Sky, #1)",0.00,4.02,Paperback,386.00,1947,to-read
The Bookshop of Yesterdays,0.00,3.65,ebook,368.00,2018,to-read
Mister Memory,0.00,3.67,Hardcover,336.00,2016,to-read
The Devil All the Time,0.00,4.12,Hardcover,261.00,2011,to-read
"Catch-22 (Catch-22, #1)",0.00,3.98,Paperback,453.00,1961,to-read
Little Women,0.00,4.09,Paperback,449.00,1868,to-read
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",0.00,4.24,Paperback,491.00,1990,to-read
"Artemis Fowl (Artemis Fowl, #1)",0.00,3.85,Paperback,396.00,2001,to-read
Born to Be Posthumous: The Eccentric Life and Mysterious Genius of Edward Gorey,0.00,3.73,Hardcover,504.00,2018,to-read
The 7½ Deaths of Evelyn Hardcastle,0.00,3.89,Hardcover,432.00,2018,to-read
Heart of Darkness & Tales of Unrest,0.00,3.25,Paperback,239.00,1996,to-read
Inferno,0.00,4.00,Paperback,490.00,1307,to-read
The Metamorphosis,0.00,3.82,Paperback,201.00,1915,to-read
"The Girl Who Could Move Sh*t with Her Mind (The Frost Files, #1)",0.00,3.68,Paperback,482.00,2019,to-read
"The Knife of Never Letting Go (Chaos Walking, #1)",0.00,3.97,Paperback,512.00,2008,to-read
"The Strange Case of the Alchemist's Daughter (The Extraordinary Adventures of the Athena Club, #1)",0.00,3.81,Paperback,402.00,2017,to-read
"Dune (Dune, #1)",0.00,4.23,Hardcover,661.00,1965,to-read
The Martian Chronicles,0.00,4.14,Paperback,182.00,1949,to-read
The Martian,0.00,4.40,Hardcover,384.00,2012,to-read
"There Will Come a Darkness (The Age of Darkness, #1)",0.00,3.80,ebook,496.00,2019,to-read
"What the Hell Did I Just Read (John Dies at the End, #3)",0.00,4.16,Hardcover,375.00,2017,to-read
Ghosts of the Shadow Market,0.00,4.29,Paperback,617.00,2019,to-read
"Wires and Nerve, Volume 1 (Wires and Nerves, #1)",0.00,4.14,ebook,240.00,2017,to-read
The Chestnut Man,0.00,4.20,Hardcover,519.00,2018,to-read
A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,0.00,4.12,Hardcover,368.00,2019,to-read
The Feather Thief,0.00,4.02,Paperback,336.00,2018,to-read
