title,myrating,avgrating,binding,pages,pubyear,shelf
The Tipping Point: How Little Things Can Make a Big Difference,3.00,3.97,Paperback,301.00,2000,read
"The Umbrella Academy, Vol. 1: Apocalypse Suite",3.00,3.85,ebook,184.00,2007,read
A Gentleman in Moscow,3.00,4.34,Audiobook,462.00,2016,read
"The Umbrella Academy, Volume 2: Dallas",3.00,4.02,ebook,192.00,2009,read
Everyone's a Aliebn When Ur a Aliebn Too,4.00,4.08,ebook,304.00,2017,read
"Snow, Glass, Apples",3.00,4.15,ebook,64.00,2019,read
Secret Path,2.00,4.34,ebook,96.00,2016,read
Astrophysics for People in a Hurry,3.00,4.08,Audiobook,208.00,2017,read
Nimona,5.00,4.15,ebook,272.00,2015,read
March (Book One),4.00,4.32,ebook,128.00,2013,read
"Strange Fruit, Volume I: Uncelebrated Narratives from Black History",4.00,4.01,ebook,176.00,2014,read
"Broken Throne (Red Queen, #4.5)",3.00,4.02,ebook,400.00,2019,read
The Man in the High Castle,3.00,3.62,ebook,274.00,1962,read
Pumpkinheads,5.00,4.09,ebook,224.00,2019,read
So You Want to Talk About Race,5.00,4.52,Audiobook,248.00,2018,read
The Institute,4.00,4.20,ebook,576.00,2019,read
"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",4.00,3.82,Hardcover,439.00,2020,read
Grimm's Fairy Tales,3.00,4.13,Hardcover,339.00,1909,read
Educated,5.00,4.46,Audiobook,13.00,2018,read
"Hollow City (Miss Peregrine's Peculiar Children, #2)",3.00,4.05,Paperback,428.00,2014,read
Ready Player One,3.00,4.26,Audiobook,374.00,2011,read
Alice's Adventures in Wonderland and Through the Looking-Glass,3.00,4.06,Hardcover,240.00,1871,read
Fantastic Beasts and Where to Find Them (Hogwarts Library),4.00,3.98,Hardcover,123.00,2001,read
Quidditch Through the Ages (Hogwarts Library),3.00,3.84,Hardcover,105.00,2001,read
The Great Gatsby,1.00,3.92,Paperback,180.00,1925,read
The Old Man and the Sea,1.00,3.78,Paperback,128.00,1952,read
Anthem,3.00,3.63,Paperback,110.00,1938,read
"The Magician's Nephew (Chronicles of Narnia, #1)",3.00,4.04,Paperback,208.00,1955,read
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #2)",3.00,4.22,Paperback,208.00,1950,read
To Kill a Mockingbird,4.00,4.28,Hardcover,376.00,1960,read
"A Wrinkle in Time (Time Quintet, #1)",3.00,4.00,Paperback,247.00,1962,read
"A Wind in the Door (Time Quintet, #2)",3.00,4.00,Paperback,247.00,1973,read
"A Swiftly Tilting Planet (Time Quintet, #3)",3.00,4.09,Paperback,304.00,1978,read
An Abundance of Katherines,2.00,3.57,Paperback,228.00,2006,read
The Scarlet Letter,4.00,3.41,Paperback,518.00,1850,read
"The Horse and His Boy (Chronicles of Narnia, #3)",3.00,3.91,Paperback,224.00,1954,read
"Prince Caspian (Chronicles of Narnia, #4)",3.00,3.97,Paperback,223.00,1951,read
"The Voyage of the Dawn Treader (Chronicles of Narnia, #5)",3.00,4.09,Paperback,248.00,1952,read
How to Read Literature Like a Professor: A Lively and Entertaining Guide to Reading Between the Lines,2.00,3.66,Paperback,336.00,2003,read
"The Silver Chair (Chronicles of Narnia, #6)",3.00,3.95,Paperback,243.00,1953,read
Wuthering Heights (Barnes & Noble Collectible Editions),2.00,3.86,Hardcover,336.00,1847,read
Murder on the Orient Express and Other Hercule Poirot Mysteries,4.00,4.37,Hardcover,624.00,1934,read
Never Let Me Go,3.00,3.82,Paperback,288.00,2005,read
The Adventures of Tom Sawyer,3.00,3.91,Hardcover,224.00,1876,read
The Wee Free Men,3.00,4.26,Paperback,352.00,2003,read
A Hat Full of Sky,3.00,4.28,Paperback,400.00,2004,read
"Wintersmith (Discworld, #35)",3.00,4.21,Paperback,416.00,2006,read
I Shall Wear Midnight,3.00,4.31,Paperback,464.00,2010,read
The Hobbit,4.00,4.27,Paperback,389.00,1937,read
"The Fellowship of the Ring (The Lord of the Rings, #1)",3.00,4.36,Paperback,531.00,1954,read
"The Two Towers (The Lord of the Rings, #2)",3.00,4.44,Paperback,329.00,1954,read
"The Return of the King  (The Lord of the Rings, #3)",3.00,4.53,Paperback,570.00,1955,read
"The Color of Magic (Discworld, #1)",4.00,3.99,Paperback,210.00,1983,read
The Strange Case of Dr. Jekyll and Mr. Hyde and Other Stories,3.00,4.01,Hardcover,299.00,1886,read
The Adventures of Huckleberry Finn,3.00,3.82,Hardcover,312.00,1884,read
Slaughterhouse-Five,5.00,4.08,Hardcover,215.00,1969,read
"The Last Battle (Chronicles of Narnia, #7)",3.00,4.02,Paperback,221.00,1956,read
"War Storm (Red Queen, #4)",4.00,3.88,Hardcover,662.00,2018,read
"Glass Sword (Red Queen, #2)",2.00,3.88,Hardcover,444.00,2016,read
"Improbable Destinies: Fate, Chance, and the Future of Evolution",4.00,4.05,Paperback,368.00,2017,read
"Chain of Gold (The Last Hours, #1)",5.00,4.48,Hardcover,672.00,2020,read
"Clockwork Princess (The Infernal Devices, #3)",5.00,4.57,Paperback,567.00,2013,read
"Supernova (Renegades, #3)",5.00,4.42,Hardcover,552.00,2019,read
"Renegades (Renegades, #1)",5.00,4.15,Hardcover,556.00,2017,read
"The Forgetting (The Forgetting, #1)",4.00,3.95,Hardcover,403.00,2016,read
"Wayfarer (Passenger, #2)",4.00,3.83,Hardcover,532.00,2017,read
"The Throne of Fire (The Kane Chronicles, #2)",4.00,4.19,Hardcover,452.00,2011,read
"The Red Pyramid (The Kane Chronicles, #1)",4.00,4.08,Hardcover,516.00,2010,read
"Champion (Legend, #3)",5.00,4.34,Hardcover,369.00,2013,read
"Prodigy (Legend, #2)",5.00,4.26,Hardcover,371.00,2013,read
"Legend (Legend, #1)",5.00,4.17,Hardcover,305.00,2011,read
"Lord of Shadows (The Dark Artifices, #2)",5.00,4.48,Hardcover,701.00,2017,read
"Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)",3.00,3.30,Paperback,320.00,2009,read
"Passenger (Passenger, #1)",4.00,3.76,Hardcover,496.00,2016,read
"Peter and the Secret of Rundoon (Peter and the Starcatchers, #3)",4.00,4.17,Paperback,482.00,2007,read
"Peter and the Shadow Thieves (Peter and the Starcatchers, #2)",4.00,4.16,Paperback,557.00,2006,read
"Peter and the Starcatchers (Peter and the Starcatchers, #1)",4.00,4.03,Paperback,452.00,2004,read
The Muse,3.00,3.84,Hardcover,393.00,2016,read
"William Shakespeare's The Force Doth Awaken (William Shakespeare's Star Wars, #7)",3.00,4.26,Hardcover,168.00,2017,read
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe, #1)",5.00,4.33,Paperback,359.00,2012,read
"Mockingjay (The Hunger Games, #3)",5.00,4.04,Hardcover,390.00,2010,read
"Catching Fire (The Hunger Games, #2)",5.00,4.29,Hardcover,391.00,2009,read
"The Hunger Games (The Hunger Games, #1)",5.00,4.33,Hardcover,374.00,2008,read
The Terranauts,1.00,3.33,Hardcover,508.00,2016,read
The Phantom Tollbooth,4.00,4.19,Paperback,256.00,1961,read
"Queen of Air and Darkness (The Dark Artifices, #3)",5.00,4.36,Hardcover,912.00,2018,read
"The Burning Maze (The Trials of Apollo, #3)",4.00,4.36,Hardcover,448.00,2018,read
"Thirteen Rising (Zodiac, #4)",4.00,4.22,Hardcover,332.00,2017,read
"Zodiac (Zodiac, #1)",5.00,3.72,Hardcover,325.00,2014,read
